I-80	Indiana	Chesterton, Elkhart, Gary, Granger, Hammond, Lake Station, Mishawaka, Munster, Portage, South Bend
I-80	New Jersey	Allamuchy-Panther Valley, Bogota, Elmwood Park, Fairfield, Fort Lee, Hackensack, Leonia, Lodi, Paterson, Ridgefield Park, Rochelle Park, Rockaway, Saddle Brook, Teaneck, Totowa, Wayne, West Paterson, Wharton, White Meadow Lake
I-81	Virginia	Abingdon, Bristol, Christiansburg, Emory-Meadow View, Harrisonburg, Hollins, Marion, Radford, Salem, Winchester, Wytheville
I-81	Pennsylvania	Carlisle, Chambersburg, Colonial Park, Dunmore, Harrisburg, Linglestown, Moosic, Mountain Top, Paxtonia, Scranton
I-81	New York	Binghamton, Cortland, Mattydale, North Syracuse, Syracuse, Watertown
I-81	Tennessee	Bristol, Kingsport
I-81	West Virginia	Martinsburg
I-81	Maryland	Hagerstown, Halfway
I-82	Washington	Grandview, Kennewick, Sunnyside, Yakima
I-82	Oregon	Hermiston
I-83	Pennsylvania	Colonial Park, East York, Harrisburg, Lower Allen, New Cumberland, Progress, York
I-83	Maryland	Baltimore, Cockeysville, Lutherville-Timonium, Mays Chapel, Pikesville, Towson
I-84	Oregon	Baker City, City of The Dalles, Gresham, Hood River, La Grande, Ontario, Pendleton, Portland, Troutdale
I-84	Idaho	Boise City, Burley, Caldwell, Meridian, Mountain Home, Nampa
I-84	Utah	Riverdale
I-84	Connecticut	Danbury, East Hartford, Hartford, New Britain, Waterbury, West Hartford
I-84	New York	Beacon, Danbury, Lake Carmel, Newburgh, Orange Lake, Port Jervis
I-84	Pennsylvania	Dunmore
I-84	Massachusetts	None
I-85	North Carolina	Archdale, Belmont, Charlotte, Concord, Durham, Gastonia, Henderson, High Point, Hillsborough, Kannapolis, Kings Mountain, Lexington, Oxford, Salisbury, Thomasville, Trinity
I-85	Georgia	Atlanta, College Park, East Point, Hapeville, LaGrange, Newnan, Norcross, North Atlanta, North Druid Hills, Union City
I-85	South Carolina	Gaffney, Gantt, Greenville, Greer, Powderville
I-85	Alabama	Auburn, Lanett, Montgomery, Opelika, Tuskegee
I-85	Virginia	Petersburg
I-86	New York	Bath, Corning, Horseheads, Jamestown, Olean, Salamanca, St. Bonaventure
I-86	Idaho	Chibbuck, Pocatello
I-87	New York	Albany, Chestnut Ridge, Colonie, Glens Falls North, Kingston, Monsey, Nanuet, Nyack, Orange Lake, Plattsburgh, Saratoga Springs, Spring Valley, Suffern, Tarrytown, Valley Cottage, West Glens Falls, Westmere, Yonkers
I-87	North Carolina	Raleigh
